date,ff,pres,u,tend,cod_tend,vv,ww,w1,rr1,rr3,rr6,rr12,rr24,ssfrai,etat_sol,ht_neige,ww description,n,nbas,hbas,t,td,tend24
2021-01-01 00:00:00,1.8,99680,96,80,1,990,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,State of sky on the whole unchanged,10.0,1.0,800.0,272.75,272.15,470.0
2021-01-01 03:00:00,1.7,99790,98,110,3,210,40,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.0,0.0,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer",25.0,1.0,1750.0,271.25,270.95,750.0
2021-01-01 06:00:00,2.6,99820,98,30,3,3660,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Clouds generally forming or developing,90.0,5.0,450.0,271.95,271.65,900.0
2021-01-01 09:00:00,1.7,99970,97,150,2,3500,10,1.0,0.0,0.2,0.2,0.2,0.2,0.01,13.0,0.01,Mist,50.0,1.0,1750.0,272.45,272.05,860.0
2021-01-01 12:00:00,1.0,100000,82,30,0,8000,2,2.0,0.0,0.0,0.2,0.2,0.2,0.0,11.0,0.0,State of sky on the whole unchanged,90.0,7.0,450.0,276.95,274.15,790.0
2021-01-01 15:00:00,1.9,100030,73,30,3,15000,1,2.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,90.0,7.0,2250.0,276.55,272.15,670.0
2021-01-01 18:00:00,0.0,100130,80,100,1,16580,0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Cloud development not observed or not observable,100.0,1.0,800.0,275.05,271.95,650.0
2021-01-01 21:00:00,0.6,100280,93,150,3,16000,3,1.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.0,Clouds generally forming or developing,90.0,7.0,800.0,272.75,271.75,680.0
2021-01-02 00:00:00,1.4,100330,93,50,3,12000,1,2.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.0,Clouds generally dissolving or becoming less developed,60.0,5.0,800.0,272.85,271.85,650.0
2021-01-02 03:00:00,1.2,100370,96,40,3,3210,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.0,State of sky on the whole unchanged,0.0,0.0,800.0,271.05,270.45,580.0
2021-01-02 06:00:00,1.0,100370,96,0,5,2340,10,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.0,Mist,0.0,0.0,800.0,270.95,270.35,550.0
2021-01-02 09:00:00,1.4,100460,95,90,2,8000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,State of sky on the whole unchanged,10.0,0.0,7000.0,272.05,271.35,490.0
2021-01-02 12:00:00,1.9,100390,79,-70,8,9000,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,40.0,3.0,800.0,276.75,273.45,390.0
2021-01-02 15:00:00,2.4,100330,78,-60,6,8910,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,75.0,6.0,800.0,277.45,273.95,300.0
2021-01-02 18:00:00,1.6,100360,93,30,2,5070,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,100.0,8.0,450.0,275.05,274.05,230.0
2021-01-02 21:00:00,0.9,100340,95,-20,8,2020,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mist,90.0,7.0,450.0,274.55,273.85,60.0
2021-01-03 00:00:00,0.8,100300,96,-40,8,1650,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mist,100.0,8.0,1750.0,274.65,274.05,-30.0
2021-01-03 03:00:00,1.4,100280,97,-20,7,1040,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mist,100.0,8.0,150.0,274.45,274.05,-90.0
2021-01-03 06:00:00,0.0,100260,97,-20,5,1040,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mist,100.0,8.0,450.0,274.65,274.25,-110.0
2021-01-03 09:00:00,0.9,100320,94,60,3,5380,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,100.0,8.0,250.0,275.25,274.35,-140.0
2021-01-03 12:00:00,1.7,100310,80,-10,8,12000,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,90.0,7.0,450.0,276.85,273.75,-80.0
2021-01-03 15:00:00,3.5,100290,77,-20,5,12290,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,90.0,7.0,800.0,276.55,272.85,-40.0
2021-01-03 18:00:00,4.6,100300,79,10,3,10000,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clouds generally forming or developing,90.0,7.0,450.0,276.45,273.15,-60.0
2021-01-03 21:00:00,4.3,100340,89,40,2,5070,50,6.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,1.0,0.0,"Drizzle, not freezing, intermittent, slight",100.0,8.0,450.0,275.65,274.05,0.0
2021-01-04 00:00:00,4.4,100300,88,-40,8,5070,1,2.0,0.0,-0.1,-0.1,-0.1,-0.1,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,100.0,8.0,450.0,275.65,273.85,0.0
2021-01-04 03:00:00,4.2,100270,87,-30,6,5070,2,2.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,1.0,0.0,State of sky on the whole unchanged,100.0,8.0,450.0,275.55,273.65,-10.0
2021-01-04 06:00:00,3.7,100210,87,-60,6,8000,1,2.0,0.0,0.0,0.0,-0.1,-0.1,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,100.0,8.0,450.0,275.55,273.65,-50.0
2021-01-04 09:00:00,4.8,100250,93,40,2,5580,60,6.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,1.0,0.0,"Rain, not freezing, intermittent, slight",100.0,8.0,250.0,275.25,274.25,-70.0
2021-01-04 12:00:00,3.6,100190,88,-60,8,7110,1,2.0,0.0,-0.1,-0.1,-0.1,-0.1,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,100.0,8.0,450.0,275.85,274.05,-120.0
2021-01-04 15:00:00,4.1,100170,85,-20,5,8050,2,2.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,1.0,0.0,State of sky on the whole unchanged,100.0,8.0,450.0,276.15,273.85,-120.0
2021-01-04 18:00:00,4.4,100230,83,60,1,11480,1,2.0,0.0,0.0,0.0,-0.1,-0.1,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,90.0,7.0,450.0,276.05,273.45,-70.0
2021-01-04 21:00:00,3.8,100270,84,40,1,14750,0,2.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,Cloud development not observed or not observable,100.0,8.0,450.0,275.85,273.45,-70.0
2021-01-05 00:00:00,5.1,100280,86,10,2,9000,2,2.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,State of sky on the whole unchanged,100.0,8.0,450.0,275.75,273.65,-20.0
2021-01-05 03:00:00,4.6,100300,86,20,1,7700,3,2.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,Clouds generally forming or developing,100.0,8.0,450.0,275.55,273.45,30.0
2021-01-05 06:00:00,4.1,100280,92,-20,6,5070,20,5.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,"Drizzle (not freezing) or snow grains, during the preceding hour",100.0,8.0,250.0,275.35,274.15,70.0
2021-01-05 09:00:00,4.8,100370,90,90,2,5070,21,6.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,"Rain (not freezing), during the preceding hour",100.0,8.0,450.0,275.55,274.05,120.0
2021-01-05 12:00:00,4.7,100370,87,0,0,6230,1,2.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,Clouds generally dissolving or becoming less developed,100.0,8.0,450.0,275.65,273.75,180.0
2021-01-05 15:00:00,3.9,100360,85,-10,5,7000,2,2.0,0.0,0.0,0.0,-0.1,-0.1,0.0,1.0,0.0,State of sky on the whole unchanged,100.0,8.0,450.0,275.95,273.65,190.0
2021-01-05 18:00:00,4.6,100410,84,50,2,7000,1,2.0,0.0,0.0,0.0,-0.1,-0.1,0.0,1.0,0.0,Clouds generally dissolving or becoming less developed,100.0,8.0,450.0,276.05,273.65,180.0
